The flu season is winding down, and it has killed 105 children so far - about the average toll.	{"entities": [[0, 14, "TEMP_EXP"]]}
The U.S. military buildup in Saudi Arabia continued at fever pace, with Syrian troops now part of a multinational force camped out in the desert to guard the Saudi kingdom from any new thrust by Iraq. In a letter to President Hashemi Rafsanjani of Iran, read by a broadcaster over Baghdad radio, Saddam said he will begin withdrawing troops from Iranian territory on Friday and release Iranian prisoners of war. Iran said an Iraqi diplomatic delegation was en route to Tehran to deliver Saddam's message, which it said it would review ``with optimism.'' Saddam appeared to accept a border demarcation treaty he had rejected in peace talks following the August 1988 cease-fire of the eight-year war with Iran. The move seemed aimed at heading off more trouble with Iran, which had condemned Iraq's invasion of Kuwait on Aug. 2 but also criticized the multinational force dispatched to Saudi Arabia. Saddam said he sought to ``turn the gulf into a lake of peace free of foreign fleets and forces that harbor ill intentions against us.'' In other developments: The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad. Bush can call up to 200,000 reservists for up to 180 days without seeking congressional approval. Soviet Foreign Ministry spokesman Yuri Gremitskikh said special ambassador Mikhail Sytenko left Tuesday for consultations with the governments of Syria, Jordan, Egypt and other Arab countries.	{"entities": [[364, 373, "TEMP_EXP"], [649, 675, "TEMP_EXP"], [683, 693, "TEMP_EXP"], [816, 825, "TEMP_EXP"], [1300, 1318, "TEMP_EXP"], [1455, 1462, "TEMP_EXP"]]}
January nineteen ninety-seven. Atlanta again. This time a bomb at an abortion clinic. More people are hurt. And just last month, an off duty policeman is killed when a bomb explodes at another abortion clinic. Location, Birmingham, Alabama.	{"entities": [[0, 30, "TEMP_EXP"], [117, 127, "TEMP_EXP"]]}
If Israel is asked to uh stretch itself on matters that are vital to its security concerns, then we must see an equal effort on the other side.	{"entities": []}
Now for today's geography quiz.	{"entities": [[0, 3, "TEMP_EXP"]]}
Finally today, we learned that the space agency has finally taken a giant leap forward. Air Force Lieutenant Colonel Eileen Collins will be named commander of the Space Shuttle Columbia for a mission in December. Colonel Collins has been the co-pilot before, but this time she's the boss. Here's ABC's Ned Potter.	{"entities": [[0, 13, "TEMP_EXP"], [200, 212, "TEMP_EXP"]]}
The main negative is the risk that the Pope's visit will persuade a great many more Cubans to break loose of the Cuban government. If so, then the Pope's visit would really open up a new chapter in the government's relations with its own society. For the Cuban government, that is the risk.	{"entities": []}
Timex is a major U.S. producer and seller of watches, including low-priced battery-operated watches assembled in the Philippines and other developing nations covered by the U.S. tariff preferences.	{"entities": []}
Afghanistan has been at war for twenty years, leaving a large part of the country's male population dead or in exile. The United Nations says women and children make up about seventy-five percent of the Afghan population. An Afghan refugee in Switzerland, Homira Atimadi, is a senior official of a group called the International Working Group on Afghan Women. The group has branches in Pakistan, Iran, Europe, Australia, and North America. Ms. Atimadi says Afghan women have been victims of severe violations of human rights for the past twenty years and she says she sees no end to the misery. She says security under the fundamentalist Taleban government is better, but everything else is worse.	{"entities": [[28, 44, "TEMP_EXP"], [525, 550, "TEMP_EXP"]]}
Many local residents denounced the bigotry, but opposition to the school then shifted. Now critics of the academy are targeting its owner, the Saudi government. Pastor James Allmen of the fellowship church and school in Ashburn has led the anti-Saudi campaign. James Allmen says he has no problem with a privately funded academy, but he has a big problem with a Saudi funded school.	{"entities": []}
There is, a- at a very deep level in our culture, um I think, a sense of, of ignorance about Islam, a fear about who Muslims are and what they're doing.	{"entities": []}
God bless him.	{"entities": []}
On the other hand, it's turning out to be another very bad financial week for Asia. The financial assistance from the World Bank and the International Monetary Fund are not helping. In the last twenty four hours, the value of the Indonesian stock market has fallen by twelve percent. The Indonesian currency has lost twenty six percent of its value. In Singapore, stocks hit a five year low. In the Philippines, a four year low. And in Hong Kong, a three percent drop. More problems in Hong Kong for a place, for an economy, that many experts thought was once invincible. Here's ABC's Jim Laurie.	{"entities": [[182, 211, "TEMP_EXP"]]}
Doctor James Burdick, the Professor of Transplant Surgery at Johns Hopkins University Hospital in Baltimore, Maryland, and former President of UNOS, said the current system has evolved over several years and it works well.	{"entities": [[185, 203, "TEMP_EXP"]]}
Despite the recent possibility of military conflict with Iraq, oil prices have been falling, that's because of a worldwide glut of oil. Now with a diplomatic solution to the crisis seemingly at hand, get set for oil prices from the Brent north sea variety to light swede crude to fall further.	{"entities": []}
"Mr. Stronach will direct an effort to reduce overhead and curb capital spending until a more satisfactory level of profit is achieved and maintained, Magna said.	{"entities": []}
You may, in a year or two, save a few more lives if you do sickest first. But the number of patients waiting then begins to increase, um and, in fact, um over the years many more patients who are about to die of liver tra- uh without a liver transplant would accumulate. If you do the uh alternative extreme, you don't save as many lives in the early years, by a small fraction. Our system is balanced, it's right in the middle. And, therefore, it works very well.	{"entities": [[9, 25, "TEMP_EXP"], [154, 168, "TEMP_EXP"], [338, 356, "TEMP_EXP"]]}
MOSCOW (AP)_ Presidents Leonid Kuchma of Ukraine and Boris Yeltsin of Russia signed an economic cooperation plan Friday, and Yeltsin claimed they resolved even more nagging problems. Russia and Ukraine share similar cultures and languages, and Ukraine was ruled from Moscow for centuries. But while the two Slavic neighbors see themselves as natural partners, their relations since the breakup of the Soviet Union have been bedeviled by a number of disputes _ Black Sea naval bases, border problems and Ukraine's natural gas debts. ``We have covered the entire list of questions and discussed how we will be tackling them,'' Yeltsin was quoted as saying by the ITAR-Tass news agency. ``I must say there are no unsettled problems any more. We have solved them all.'' But his sweeping statement contained no details, and gave no indication of how the disputes could be resolved. Their solution would require a compromise between the two nations' parliaments. A major dispute concerns a broad political treaty calling for border demarcation, which the two presidents signed last May. In effect, the treaty amounts to Russian recognition of Ukraine's sovereignty and borders, and the Ukrainian parliament has already ratified it. However, Russia has stalled ratification, trying to tie it to an agreement that would permit the Russian navy to use a naval base on Ukraine's Crimean peninsula for at least 20 more years. In their joint statement issued after the talks, Yeltsin and Kuchma called for the fastest possible ratification of the treaty, saying it would create a ``strong legal foundation'' for bilateral ties and help stability in Europe. Kuchma assured Yeltsin that Ukraine would not join NATO, Yeltsin's spokesman Sergei Yastrzhembsky said, according to the Interfax news agency. The Russian leadership has staunchly opposed the western alliance's expansion into Eastern Europe. In their joint statement, released by the Kremlin, the two leaders also pledged to consult each other regularly on their approaches to relations with NATO and, in particular, their action within the framework of NATO's Partnership for Peace program. Last year, Russian officials assailed Ukraine for holding joint naval exercises with NATO in the Black Sea _ an area Moscow considers its own turf. Kuchma has said repeatedly that Ukraine would remain neutral for the foreseeable future. Yeltsin and Kuchma also called for developing the stagnant relations between the members of the Commonwealth of Independent States, a loose coalition of former Soviet republics. In the past, Russia has often claimed that Ukraine was undermining efforts at closer cooperation within the CIS. A major goal of Kuchma's four-day state visit was the signing of a 10-year economic program aimed at doubling the two nations' trade turnover, which fell to dlrs 14 billion last year, down dlrs 2.5 billion from 1996. The two presidents on Friday signed the plan, which calls for cooperation in the metallurgy, fuel, energy, aircraft building, missile, space and chemical industries. A major project is joint manufacturing of An-70 cargo planes, the Kremlin statement said. The program also calls for coordination of economic reforms and joint improvement of social programs in the two countries, where many people have become impoverished during the chaotic post-Soviet transition to capitalism. Kuchma also planned to visit Russian gas giant Gazprom, most likely to discuss Ukraine's dlrs 1.2 billion debt to the company. (pvs/vi/ji)	{"entities": [[113, 119, "TEMP_EXP"], [1400, 1414, "TEMP_EXP"], [2346, 2373, "TEMP_EXP"], [2552, 2563, "TEMP_EXP"], [2838, 2847, "TEMP_EXP"], [2901, 2910, "TEMP_EXP"]]}
We're going to fight it. And uh we've already challenged, very strongly, the uh the terms in which this has been presented. But we're challenging it on the ground that uh the RUC uh have offered an opinion, and this opinion is going to be used as a mechanism for ejecting us from the talks, and uh that's a very serious.	{"entities": []}
BELFAST, Northern Ireland (AP)_ Police seized a car bomb under construction Sunday in a town bordering Northern Ireland on the eve of the return to peace talks by the IRA-allied Sinn Fein party. Chief Superintendent Al McHugh said the bomb discovered in the Irish Republic was destined for an unknown target in Northern Ireland and ``would have caused massive destruction.'' The discovery appeared to be the latest attempt by extremists opposed to the IRA's 8-month-old truce to undermine the peace process, set to resume Monday in Belfast. Extremists have bombed two predominantly pro-British Protestant towns and fired mortar shells at a police station since Sinn Fein was expelled from peace talks on Feb. 20 in punishment for two killings blamed on the Irish Republican Army. Police found more than 1,300 pounds (600 kgs) of fertilizer-based explosives Sunday in a shed in Dundalk, 50 miles (80 kms) south of Belfast. They arrested two men in connection with the bomb factory, which also contained circuitry, detonating cord and the Mitsubishi truck that would have carried the bomb. The British and Irish governments, which cosponsor the multi-party talks that are supposed to conclude by May, invited Sinn Fein to rejoin two weeks ago. But Sinn Fein leader Gerry Adams kept his party out pending meetings with British Prime Minister Tony Blair 10 days ago and President Clinton last week. ``We were unjustly pushed out of the talks in February but we are back,'' Adams said Sunday. He said the north's substantial Catholic minority demanded a settlement that would promote Northern Ireland's eventual unification with the Irish Republic. ``Nationalists in the north are not a minority in someone else's country. We are Irish citizens, living in our own country,'' Adams said, adding: ``Nationalists want to move towards Irish unity and see this process as a bridge in that direction.'' But the north's pro-British Protestant majority is bitterly opposed to uniting Ireland and instead wants a strong government for Northern Ireland, which has been ruled directly by London since 1972. Northern Ireland's biggest Protestant party, the Ulster Unionists, is threatening to push for Sinn Fein's expulsion once again. They say IRA commanders are responsible for the recent bomb attacks. Also Sunday, more than 2,000 Catholic protesters rallied in Portadown against the annual parades by the Orange Order, Northern Ireland's dominant Protestant fraternal group. Confrontations among Catholic protesters, Protestant marchers and the police have provoked widespread violence in Northern Ireland for the past three summers. The crucible is Portadown, 30 miles (50 kms) southwest of Belfast, where Orangemen march each July from their rural church back downtown _ through the town's main Catholic area. Protesters from several Catholic communities crowded into Portadown's Catholic Garvaghy Road to hear speakers demand negotiations with Orange Order leaders, and pledge to participate in each others' road-blocking protests this summer. ``Small nationalist communities are not going to be left on their own this summer,'' said Gerard Rice, a former IRA prisoner who leads anti-Orange protests in a Catholic neighborhood of south Belfast. Riot police in armored cars, shields and helmets prevented a few hundred Protestants, many waving British and Ulster flags, from interfering with the Catholics as they marched within Portadown's few Catholic streets. Earlier Sunday, police and militant Protestants clashed in a religiously polarized part of north Belfast. Police said an unmarked police car was hit with gasoline bombs from the Protestant side. Riot police responded with a volley of plastic bullets that scattered a 50-strong mob. An elderly Catholic man was hospitalized from cuts after a Protestant gasoline bomb landed in his back yard. Police arrested six Protestants on suspicion of rioting. (sp/eml)	{"entities": [[888, 903, "TEMP_EXP"], [1180, 1201, "TEMP_EXP"]]}
THE HAGUE, Netherlands (AP)_ The World Court Friday rejected U.S. and British objections to a Libyan World Court case that has blocked the trial of two Libyans suspected of blowing up a Pan Am jumbo jet over Scotland in 1988. Libya, which brought the case to the United Nations' highest judicial body in its dispute with the United States and Britain, hailed the ruling and said it would press anew for a trial in a third neutral country. Both U.S. and British officials filed objections to the court's jurisdiction in 1995, claiming Security Council resolutions imposed on Lybia to force the suspects' extradition overruled a 1971 Convention which gives Libya the right to try the men. The decision, 3rd graf pvs.	{"entities": [[217, 225, "TEMP_EXP"], [516, 523, "TEMP_EXP"], [625, 642, "TEMP_EXP"]]}
Major job cuts at AT and T. The long distance giant slashing up to eighteen thousand jobs, freezing executive salaries and shaking up management. The changes are part of a one point six billion dollar cost cutting initiative to revitalize its position in the telecommunications business. Earlier AT and T also announced an eighteen percent drop in profits for the fourth quarter. The company's sales force applauded the shake up.	{"entities": [[356, 379, "TEMP_EXP"]]}
The united states is not authorized to use force before going to the council.	{"entities": []}
Iraq imports about three-quarters of its foodstuffs. U.S. allies and other U.N. members have objected that the Security Council embargo resolution did not specifically authorize such a naval operation. Bush told a news conference on Tuesday that the naval barricade now in force might be extended to Jordan's Aqaba ``if it is a hole through which commerce flows'' in and out of Iraq. In Saudi Arabia, today is the eighth day of ``Desert Shield,'' the operation designed to confront an estimated 200,000 Iraqi soldiers now in Kuwait. Iraq boasts an army of 1 million members. At least 50,000 U.S. troops are expected to be committed to Desert Shield within weeks, including Marines, Army air assault forces, paratroopers and infantry. Iraq said it invaded Kuwait because of disputes over oil and money. It accused Kuwait of deliberately slashing Iraqi oil revenues by overproducing oil and driving down prices, among other charges. Iraq has 17 million residents, and Kuwait about 1.9 million.	{"entities": [[275, 288, "TEMP_EXP"], [500, 510, "TEMP_EXP"]]}
JERUSALEM (AP)_ Taking the stand in her own defense, a friend of Yitzhak Rabin's assassin said Friday that she regretted calling the prime minister a traitor and praying for his death. Margalit Har-Shefi, 22, has pleaded innocent to charges that she failed to report Yigal Amir's plan to kill Rabin. She took the stand for more than four hours Friday in a Tel Aviv magistrate's court. Amir, 27, is serving a life sentence for the November 1995 assassination of Rabin at a Tel Aviv peace rally. Newspaper reports have said Amir was infatuated with Har-Shefi and may have been trying to impress her by killing the prime minister. Har-Shefi acknowledged she told police interrogators that Rabin was a traitor and that she prayed for him to have a heart attack and die. She said Rabin's murder was ``a black stain on Israel,'' Israel radio and Israel army radio reported. Har-Shefi said she heard Amir talk about killing Rabin but did not tell the police because she did not believe he was serious. Instead, she turned to her community rabbi in the Jewish West Bank settlement of Beit El and told him about Amir's statements. The rabbi said called the talk about killing Rabin ``nonsense,'' and said Jews are prohibited from killing one another, the radio reports said. Har-Shefi described Amir as an ``original thinker,'' as well as delusional and a liar. She also denied accusations made by Amir's brother, Hagai, that she joined an anti-Arab underground movement. She said she gave the Amir brothers false information regarding the location of a weapons and ammunition cache when they asked her to help organize such a movement.	{"entities": [[217, 225, "TEMP_EXP"], [516, 523, "TEMP_EXP"], [625, 642, "TEMP_EXP"]]}
Sytenko, a former deputy secretary-general of the United Nations, is also expected to visit Baghdad, Gremitskikh said at a regular news briefing today. The outlook darkened for about 3,000 Americans caught in Iraq and Kuwait when Saddam sent his forces into the small, oil-rich sultanate. The Iraqi ambassador to Greece said in Athens the Americans and other stranded foreigners could leave ``as soon as the threats from the United States and its allies are eliminated.'' ABC quoted an Iraqi Foreign Ministry official in Baghdad as saying Americans in Iraq are ``restrictees'' who will stay there until the crisis ends. The Soviet Foreign Ministry said Soviet women, children and invalids would be permitted to leave Iraq. Spokesman Yuri Gremitskikh said the first group of 230 evacuees was assembling in Baghdad today, but evacuation plans were hampered by desert heat and lack of transportation. Nearly 9,000 Soviets were among the hundreds of thousands of foreigners trapped in Iraq and Kuwait. Iraq has agreed to allow all 880 Soviets in Kuwait to leave, but only by a 1,200-mile road route through Iraq and to the Iraq-Jordan border. The British Foreign Office said today conditions in Kuwait appear to be deteriorating. There have been reports of wholesale looting but food and gasoline were still available, said a spokesman, who by custom was not identified. Banks remained closed. The Iraqi ambassador to Venezuela said on Tuesday that Iraq would retaliate against Venezuela and other OPEC oil cartel members if they boost oil production to fill the gap created by blocked supplies from Iraq and Kuwait. With Kuwait now ``annexed,'' Iraq has control of 20 percent of the world's oil reserves. A steep rise in world oil prices followed the Kuwait invasion. The U.N. Security Council on Aug. 6 ordered a global embargo on trade with Iraq as punishment for seizing Kuwait. Bush then sent U.S. troops and planes to Saudi Arabia, saying Iraqi troops massed nearby in Kuwait threatened Saudi Arabia and its vast oil reserves. Twelve Arab League nations voted for an Arab force to protect Saudi Arabia, with the vanguard of Syria's contingent arriving Tuesday, according to diplomatic sources in Riyadh, the Saudi capital. Egyptian and Moroccan troops are already there. The predominantly Moslem nation of Bangladesh said today its troops would join multinational forces in Saudi Arabia. The size of the contingent was not disclosed. Turkey and Saudi Arabia in effect shut down Iraq's major oil outlets through those countries, but according to Jordanian officials, a smaller line into Jordan remained operating. Truckloads of goods rolled into Iraq from Jordan on Tuesday and Iraqi-bound cargo was unloaded from ships at the Red Sea port ofAqaba despite the U.N.-ordered sanctions. King Hussein was reportedly carrying a message to Bush from Iraq's Saddam, with whom the king met Monday. The monarch will meet Bush on Thursday in Kennebunkport, Maine. Crown Prince Hassan, King Hussein's brother and political adviser, was asked today about the message the king was said to be carrying. In an interview from Jordan on ABC, he declined to discuss details, but said: ``I don't think that his majesty would be traveling at this crucial moment if the Iraqi leadership did not have a rational approach to the future.''	{"entities": [[364, 373, "TEMP_EXP"], [649, 675, "TEMP_EXP"], [683, 693, "TEMP_EXP"], [816, 825, "TEMP_EXP"], [1300, 1318, "TEMP_EXP"], [1455, 1462, "TEMP_EXP"]]}
One of the scenarios widely advanced before the visit is that through the Pope, Cuba, still led by Castro, can begin a more productive relationship with the world. That will, in turn, bring pressure on Washington to change.	{"entities": []}
Magna recently cut its quarterly dividend in half and the company's Class A shares are wallowing far below their 52-week high of 16.125 Canadian dollars (US$13.73). On the Toronto Stock Exchange yesterday, Magna shares closed up 37.5 Canadian cents to C$9.625.	{"entities": []}
The Internet has certainly helped uh hate mongers to organize and uh to feel that they are part of a larger community, even if uh they are essentially uh, you know, angry people sitting in their bedrooms uh all alone. Uh, in addition, white power racist music has become uh quite popular in certain sectors. Uh, there are over fifty thousand CDs a year sold with uh lyrics that are quite uh unbelievable.	{"entities": []}
An officially sanctioned one, too. UNESCO declared it a protected site for its beauty and its historical significance.	{"entities": []}
Former savings and loan chief, Charles Keating, is facing more legal troubles in California. A federal appeals court has reinstated his state convictions for securities fraud. NPR's Elaine Corey has more from San Francisco.	{"entities": []}
It's not something we're not used to in the industry. But I think right now, for AT and T and the people here, it's fairly intense as you might w- well imagine.	{"entities": []}
Inside the Islamic Saudi academy in Mount Vernon, Virginia, many of the girls wear head scarves and some of the neatly dressed children are in uniforms. The instruction is in English for most classes, in Arabic for language and religious studies. The school says it teaches the children to be good Muslims and good students. They're learning a civics lesson from the residents of Loudon county. The Islamic Saudi Academy has twelve hundred mostly American students but would take thirty-five hundred if it had the room. The academy bought a hundred acres in Loudon county, Virginia, and asked for permission to build a fifty million dollar campus. In the nearby suburban housing tracts, someone dropped off leaflets warning the school could bring thousands of Middle Eastern strangers and terrorists. Some residents of the mostly white, mostly middle class area became alarmed. James Zogby of the Arab American Institute says it's a familiar story.	{"entities": []}
Italian chemical giant Montedison S.p.A., through its Montedison Acquisition N.V. indirect unit, began its $37-a-share tender offer for all the common shares outstanding of Erbamont N.V., a maker of pharmaceuticals incorporated in the Netherlands.	{"entities": []}
That was Eileen Collins, after she flew as the first ever co-pilot. Being commander is different. It means supervising the rest of the crew in training and leading them in flight. It is, in short, the kind of management job many American women say they've had to fight for. In space, some say female pilots were held up until now by the lack of piloting opportunities for them in the military.	{"entities": []}
I think that the mood is fairly gloomy, and I think it's not going to change for a couple of years.	{"entities": [[81, 98, "TEMP_EXP"]]}
The Pentagon said today it will re-examine the question are the remains inside the Tomb of the Unknown from the Vietnam War, in fact, known?	{"entities": [[18, 23, "TEMP_EXP"]]}
The offer is being launched pursuant to a previously announced agreement between the companies.	{"entities": []}
For nearly forty years, the United States has said categorically it would not tolerate totalitarian rule in its own backyard. It is the US economic and political embargo which has kept Cuba in a box.	{"entities": [[0, 22, "TEMP_EXP"]]}
Steel plates recovered at the Olympic park bombing appear to match those found at the abortion clinic bombing in Atlanta. Those plates may have come from a machine shop in north Carolina, where a friend of Rudolph worked.	{"entities": []}
Young's Market Co., a wholesaler of spirits, wines and other goods, said it will merge with a new corporation formed by the Underwood family, which controls Young's.	{"entities": []}
Helicopters are flying over northern New York today trying to locate people stranded without food, heat or medicine.	{"entities": [[46, 51, "TEMP_EXP"]]}
Posing for photographers with Clinton, Blair pledged to stand united with the president against Iraq, warning Saddam Hussein that the threat of force is real. The British aircraft carrier invincible is now patrolling the Persian Gulf alongside three US vessels. Washington and London are virtually alone in warning Iraq of military strikes if it doesn't back down on the weapons inspection issue. President Clinton says he and Blair will stand together not just on Iraq but also on arresting the terrorists suspected of blowing up Pan Am flight one oh three over Scotland. For The World I'm Nancy Marshall in Washington.	{"entities": []}
MOSCOW (AP)_ The mayor of Moscow has allocated funds to help build a museum in honor of Mikhail Kalashnikov, the Russian who gave his name to the world's most widely wielded weapon, according to a news agency report Friday. Kalashnikov designed the AK-47 automatic rifle, famed for its reliability and effectiveness. Together with its derivatives, the Kalashnikov rifle has been used by the police and armies of 55 countries and an assortment of guerrillas, terrorists and just plain thugs around the globe. Seventy-five million copies of the rifle have been built since it entered production in February 1947, making it history's most widely distributed weapon. UR The ITAR-Tass, 4th graf pvs (pvs/ji)	{"entities": [[216, 223, "TEMP_EXP"], [596, 609, "TEMP_EXP"]]}
Hotels are only thirty percent full. You can get seventy percent discounts at the shopping malls. Three thousand dollar pearls for eight hundred dollars. A two hundred dollar wool jacket for fifty dollars. Still, there are few buyers. And at the big brokerage houses, after ten years of boom, they're talking about layoffs.	{"entities": [[268, 291, "TEMP_EXP"]]}
There was a suspicion the body was Blassie because his uniform and ID card were found near the body in Vietnam. But subsequently, they were lost. Blassie's mother now wants the remains in the tomb tested for DNA.	{"entities": []}
But now we're going to go back to New York, where Diane Sawyer has the rest of the news. Diane?	{"entities": []}
We do not further the purpose of human rights in the world by violating the human rights under our own constitution.	{"entities": []}
Mark Potach says over four hundred hate groups have been identified and many are becoming increasingly successful at recruiting younger members through the use of Internet web pages and the promotion of racist rock music.	{"entities": []}
The US is bolstering its military presence in the gulf, as President Clinton discussed the Iraq crisis with the one ally who has backed his threat of force, British prime minister Tony Blair. The World's Nancy Marshall reports on Mr. Blair's current visit to Washington and the special relationship between the two leaders.	{"entities": []}
Women do not become victims of armed attack, but they do not have the right to work. And today, the right to work is equal to r- the right to survival.	{"entities": [[89, 94, "TEMP_EXP"]]}
But investors are approaching the changes with caution shares of AT and T down nearly four at sixty-one and a half.	{"entities": []}
Atlanta nineteen ninety-six. A bomb blast shocks the Olympic games. One person is killed.	{"entities": [[8, 28, "TEMP_EXP"]]}
JERUSALEM (AP)_ Top Israeli officials sent strong new signals Sunday that Israel wants to withdraw from southern Lebanon, where a costly war of attrition has been steadily claiming soldiers' lives. Prime Minister Benjamin Netanyahu told his Cabinet on Sunday that Israel was willing to withdraw from southern Lebanon provided Israel's northern frontier could be secured. ``If the Lebanese government will cooperate with us in making appropriate security arrangements in south Lebanon, we will be happy to get out of Lebanon in the framework of implementation of U.N. Resolution 425,'' Netanyahu told his ministers. That 1978 resolution calls for Israel's unconditional withdrawal from the self-declared security zone it occupies in south Lebanon, and for the deployment of the Lebanese army and U.N. forces to ensure security along the Lebanese-Israeli border. On Friday, Netanyahu said he had ``no qualms'' about implementing the U.N. resolution, as long as Israel had ``the necessary security safeguards.'' Cabinet minister Michael Eitan said Sunday that Netanyahu's remarks marked a substantive change in Israel's position. ``We will defend our north from the international border,'' said Eitan, the science minister. ``No one wants to stay in Lebanon; thus we think it better to withdraw.'' Uri Lubrani, Israel's top official for Lebanon affairs, also suggested Israel was willing to modify its political goals in Lebanon. ``This is a new thing...it means that we are willing to talk today _ full stop _ about security,'' Lubrani told Israel's Channel One. ``We have gotten off the issue of peace, off the issue of normalization.'' As the death toll in Lebanon has mounted, the Israeli government has been faced with a growing grassroots movement calling for Israel's unilateral withdrawal from Lebanon. Since 1985 _ when the Israelis created a security buffer zone southern Lebanon _ nearly 200 Israeli soldiers have been killed fighting Hezbollah and other guerrillas. Last week, Hezbollah fighters killed three Israeli soldiers and seriously wounded six others. The Israelis suffered a record 39 deaths in southern Lebanon last year. In addition, 73 soldiers were killed en route to Lebanon when two military helicopters crashed last February. The Maariv newspaper said Sunday that Netanyahu's comments last week were in response to signals from Syria that it wants to renew the long-stalled peace talks between the two countries. The newspaper, quoting ``secret reports,'' said Syria had indicated its interest in resuming talks in remarks made last week by the Syrian ambassador to Washington, Walid Mualem, in a lecture to a closed forum in Baltimore. Two top aides to Netanyahu, political adviser Uzi Arad and Cabinet Secretary Danny Naveh, left for Europe on Sunday, apparently to investigate the Syrian issue, the newspaper said. Israel-Syrian talks have been cut off for nearly two years. Defense Minister Yitzhak Mordechai was the first senior Israeli official to refer to U.N. resolution 425 in a speech six weeks ago, saying at the time he was willing to withdraw troops in exchange for guarantees that Israel would not be attacked.	{"entities": [[113, 119, "TEMP_EXP"], [1400, 1414, "TEMP_EXP"], [2346, 2373, "TEMP_EXP"], [2552, 2563, "TEMP_EXP"], [2838, 2847, "TEMP_EXP"], [2901, 2910, "TEMP_EXP"]]}
President Clinton says he is committed to a possible strike against Iraq, despite objections from other countries. Steve Hurst has that.	{"entities": []}
Any decision to expel Sinn Fein must be agreed jointly by the governments of both Britain and the Irish Republic.	{"entities": []}
Even two hundred miles up in space, there has been a glass ceiling. It wasn't until twenty years after the first astronauts were chosen that NASA finally included six women, and they were all scientists, not pilots. No woman has actually been in charge of a mission until now.	{"entities": [[84, 172, "TEMP_EXP"]]}
Ah, we just saw an explosion up ahead of us here about sixteen thousand feet or something like that. It just went down.	{"entities": []}
The action came in response to a petition filed by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations. Previously, watch imports were denied such duty-free treatment.	{"entities": []}
Freeh also ordered the investigation consolidate information under the Atlanta task force, another indication officials suspect a link between all the bombings. Privately, authorities say Rudolph has become a focus of their investigation. Publicly, they are unwilling to make any sweeping assertion. The reason, they remember Richard Jewell. pierre thomas, CNN, Washington.	{"entities": []}
